player_id,player_name,player_positions,jersey,position_number,position
201196,Ramon Sessions,G,7,1,PG
201971,DeJuan Blair,C-F,45,4,PF
202066,Garrett Temple,G,17,1,SG
202322,John Wall,G,2,1,PG
202390,Gary Neal,G,14,1,SG
203490,Otto Porter Jr.,F,22,3,SF
204067,Jarell Eddie,G-F,8,2,SF
1626162,Kelly Oubre Jr.,F,12,3,SF
101112,Channing Frye,F,8,3,C
201160,Jason Smith,F-C,14,4,C
202696,Nikola Vucevic,C,9,5,C
202699,Tobias Harris,F,12,3,PF
203094,Andrew Nicholson,F,44,3,PF
203095,Evan Fournier,F,10,3,SG
203473,Dewayne Dedmon,C,3,5,C
203506,Victor Oladipo,G,5,1,SG
203894,Shabazz Napier,G,13,1,PG
203901,Elfrid Payton,G,4,1,PG
203932,Aaron Gordon,F,0,3,PF
1626209,Mario Hezonja,G-F,23,2,SF
1897,Metta World Peace,F,37,3,SF
101138,Brandon Bass,F,2,3,PF
101150,Lou Williams,G,23,1,PG
201156,Nick Young,F-G,0,2,SG
201579,Roy Hibbert,C,17,5,C
203135,Robert Sacre,C,50,5,C
203527,Ryan Kelly,F,4,3,PF
203903,Jordan Clarkson,G,6,1,SG
203944,Julius Randle,F,30,3,PF
1626148,Anthony Brown,F,3,3,SF
1626156,D'Angelo Russell,G,1,1,PG
1626204,Larry Nance Jr.,F,7,3,C
1626273,Marcelo Huertas,G,9,1,PG
201171,Carl Landry,F,7,3,PF
202397,Ish Smith,G,1,1,PG
203088,Kendall Marshall,G,5,1,PG
203138,Hollis Thompson,G-F,31,2,SG
203457,Nerlens Noel,F-C,4,4,C
203477,Isaiah Canaan,G,0,1,PG
203496,Robert Covington,F,33,3,SF
203917,Nik Stauskas,G,11,1,SG
203924,Jerami Grant,F,39,3,PF
203960,JaKarr Sampson,G-F,9,2,SF
204456,T.J. McConnell,G,12,1,PG
1626143,Jahlil Okafor,C,8,5,C
1626158,Richaun Holmes,F,22,3,C
202340,Avery Bradley,G,0,1,SG
202738,Isaiah Thomas,G,4,1,PG
203096,Jared Sullinger,C-F,7,4,PF
201973,Jonas Jerebko,F,8,3,PF
202323,Evan Turner,G-F,11,2,SF
203923,James Young,G-F,13,2,SG
203935,Marcus Smart,G,36,1,PG
203482,Kelly Olynyk,C-F,41,4,C
101135,David Lee,F-C,42,4,PF
203092,Tyler Zeller,C-F,44,4,C
101161,Amir Johnson,F,90,3,PF
203109,Jae Crowder,F,99,3,SF
203499,Shane Larkin,G,0,1,PG
101127,Jarrett Jack,G,2,1,PG
2207,Joe Johnson,F-G,7,2,SG
200745,Andrea Bargnani,C-F,9,4,C
203508,Sergey Karasev,G-F,10,2,SF
201572,Brook Lopez,C,11,5,C
202388,Donald Sloan,G,15,1,PG
201961,Wayne Ellington,G,21,1,SG
203900,Markel Brown,G,22,1,SG
201152,Thaddeus Young,F,30,3,PF
203186,Willie Reed,F-C,33,4,C
203080,Thomas Robinson,F,41,3,PF
202711,Bojan Bogdanovic,G-F,44,2,SF
2733,Shaun Livingston,G,34,1,PG
2738,Andre Iguodala,G-F,9,2,SF
101106,Andrew Bogut,C,12,5,C
201574,Jason Thompson,F-C,1,4,PF
201575,Brandon Rush,F-G,4,2,SG
201578,Marreese Speights,F-C,5,4,C
201939,Stephen Curry,G,30,1,PG
202691,Klay Thompson,G,11,1,SG
203084,Harrison Barnes,F,40,3,PF
203105,Festus Ezeli,C,31,5,C
203110,Draymond Green,F,23,3,PF
203546,Ian Clark,G,21,1,SG
203949,James Michael McAdoo,F,20,3,PF
2034,Mike Miller,G-F,3,2,SF
2749,Jameer Nelson,G,1,1,PG
200751,Randy Foye,G,4,1,SG
201568,Danilo Gallinari,F,8,3,SF
201581,JJ Hickson,C-F,7,4,C
201589,Darrell Arthur,F,0,3,PF
202702,Kenneth Faried,F,35,3,PF
203115,Will Barton,F-G,5,2,SG
203123,Kostas Papanikolaou,F,16,3,SF
203530,Joffrey Lauvergne,C-F,77,4,C
203914,Gary Harris,G,14,1,SG
203994,Jusuf Nurkic,C,23,5,C
203999,Nikola Jokic,C,15,5,C
101139,CJ Miles,F-G,0,2,SF
1626202,Joe Young,G,1,1,PG
201155,Rodney Stuckey,G,2,1,PG
201588,George Hill,G,3,1,PG
202730,Lavoy Allen,F-C,5,4,PF
201978,Chase Budinger,F,10,3,SF
101145,Monta Ellis,G,11,1,SG
202331,Paul George,F,13,3,SF
201941,Jordan Hill,C,27,5,C
101133,Ian Mahinmi,C,28,5,C
1626167,Myles Turner,F-C,33,4,C
203922,Glenn Robinson III,G-F,40,2,SF
203524,Solomon Hill,F,44,3,SF
203083,Andre Drummond,C,0,5,C
202704,Reggie Jackson,G,1,1,PG
1626169,Stanley Johnson,F,3,3,SF
203484,Kentavious Caldwell-Pope,G,5,1,SG
1626199,Darrun Hilliard,F,6,3,SG
201943,Brandon Jennings,G,7,1,PG
203382,Aron Baynes,F-C,12,4,C
202694,Marcus Morris,F,13,3,PF
2581,Steve Blake,G,22,1,PG
101141,Ersan Ilyasova,F,23,3,PF
203493,Reggie Bullock,F,25,3,SF
201229,Anthony Tolliver,F,43,3,PF
201202,Joel Anthony,C,50,5,C
1495,Tim Duncan,C-F,21,4,PF
1938,Manu Ginobili,G,20,1,SG
2225,Tony Parker,G,9,1,PG
2561,David West,F,30,3,PF
2564,Boris Diaw,C-F,33,4,PF
2588,Matt Bonner,C-F,15,4,PF
200746,LaMarcus Aldridge,F,12,3,PF
201980,Danny Green,G-F,14,2,SG
201988,Patty Mills,G,8,1,PG
202695,Kawhi Leonard,F,2,3,SF
203613,Jonathon Simmons,G-F,17,2,SG
203937,Kyle Anderson,F,1,3,SF
1626246,Boban Marjanovic,C,40,5,C
1891,Jason Terry,G,31,1,SG
2730,Dwight Howard,C,12,5,C
2772,Trevor Ariza,F,1,3,SF
201147,Corey Brewer,G-F,33,2,SF
201935,James Harden,G,13,1,SG
201951,Ty Lawson,G,3,1,PG
201976,Patrick Beverley,G,2,1,PG
201977,Marcus Thornton,F-G,10,2,SG
202700,Donatas Motiejunas,F-C,20,4,PF
203093,Terrence Jones,F,6,3,PF
203909,KJ McDaniels,G-F,32,2,SF
203991,Clint Capela,F-C,15,4,C
1626149,Montrezl Harrell,F,35,3,C
1626155,Sam Dekker,F,7,3,PF
202324,Derrick Favors,F-C,15,4,PF
202330,Gordon Hayward,F,20,3,SF
202344,Trevor Booker,F,33,3,PF
202353,Tibor Pleiss,C,21,5,C
202407,Elijah Millsap,G-F,13,2,SG
203187,Chris Johnson,F,23,3,SF
203481,Jeff Withey,C,24,5,C
203504,Trey Burke,G,3,1,PG
203526,Raul Neto,G,25,1,PG
203918,Rodney Hood,G,5,1,SG
204060,Joe Ingles,F,2,3,SF
1626168,Trey Lyles,F,41,3,PF
1713,Vince Carter,G-F,15,2,SG
2216,Zach Randolph,F,50,3,PF
2440,Matt Barnes,F,22,3,SF
2754,Tony Allen,F-G,9,2,SG
200797,Ryan Hollins,C,20,5,C
201144,Mike Conley,G,11,1,PG
201145,Jeff Green,F,32,3,PF
201188,Marc Gasol,C,33,5,C
201584,Courtney Lee,G,5,1,SG
201596,Mario Chalmers,G,6,1,PG
203210,JaMychal Green,F,0,3,PF
203919,Jordan Adams,G,3,1,SG
1626145,Tyus Jones,G,1,1,PG
203476,Gorgui Dieng,C,5,5,C
203897,Zach LaVine,G,8,1,SG
201937,Ricky Rubio,G,9,1,PG
2419,Tayshaun Prince,F,12,3,SF
203498,Shabazz Muhammad,F,15,3,SF
708,Kevin Garnett,F,21,3,PF
203952,Andrew Wiggins,G-F,22,2,SF
2755,Kevin Martin,G,23,1,SG
1889,Andre Miller,G,24,1,PG
1626157,Karl-Anthony Towns,C,32,5,C
203940,Adreian Payne,F,33,3,PF
202357,Nemanja Bjelica,F,88,3,PF
201564,O.J. Mayo,G,3,1,SG
203487,Michael Carter-Williams,G,5,1,PG
203142,Chris Copeland,F,9,3,SF
203898,Tyler Ennis,G,11,1,PG
203953,Jabari Parker,F,12,3,PF
202328,Greg Monroe,C-F,15,4,C
203101,Miles Plumlee,C,18,5,C
201573,Jerryd Bayless,G,19,1,PG
1626173,Rashad Vaughn,G,20,1,SG
203114,Khris Middleton,G-F,22,2,SF
203089,John Henson,F,31,3,C
203507,Giannis Antetokounmpo,F,34,3,PF
203948,Johnny O'Bryant III,F-C,77,4,PF
1626147,Justin Anderson,G-F,1,2,SF
201967,Dante Cunningham,F,44,3,PF
202087,Alonzo Gee,F,15,3,SF
201569,Eric Gordon,G,10,1,SG
202337,Luke Babbitt,F,8,3,SF
202708,Norris Cole,G,30,1,PG
201962,Toney Douglas,G,16,1,PG
201582,Alexis Ajinca,C,42,5,C
201583,Ryan Anderson,F,33,3,PF
201936,Tyreke Evans,G-F,1,2,SG
201950,Jrue Holiday,G,11,1,PG
203076,Anthony Davis,F-C,23,4,PF
201600,Omer Asik,C,3,5,C
2570,Kendrick Perkins,C,5,5,C
2555,Nick Collison,F,4,3,PF
201142,Kevin Durant,F,35,3,SF
201566,Russell Westbrook,G,0,1,PG
201571,D.J. Augustin,G,14,1,PG
201586,Serge Ibaka,F,9,3,PF
201627,Anthony Morrow,G,2,1,SG
202683,Enes Kanter,C,11,5,C
202713,Kyle Singler,F,5,3,SF
203079,Dion Waiters,G,3,1,SG
203460,Andre Roberson,G,21,1,SG
203500,Steven Adams,C,12,5,C
203956,Mitch McGary,F,33,3,PF
1626166,Cameron Payne,G,22,1,PG
201567,Kevin Love,F,0,3,PF
2592,James Jones,G-F,1,2,SF
202681,Kyrie Irving,G,2,1,PG
202697,Iman Shumpert,G,4,1,SG
2747,JR Smith,G-F,5,2,SG
203521,Matthew Dellavedova,G,8,1,PG
203099,Jared Cunningham,G,9,1,SG
202684,Tristan Thompson,C-F,13,4,PF
2760,Anderson Varejao,F,17,3,C
202389,Timofey Mozgov,C,20,5,C
2544,LeBron James,F,23,3,SF
2210,Richard Jefferson,F,24,3,SF
2590,Mo Williams,G,52,1,PG
202362,Lance Stephenson,F-G,1,2,SG
101108,Chris Paul,G,3,1,PG
200755,JJ Redick,G,4,1,SG
2746,Josh Smith,F,5,3,PF
201599,DeAndre Jordan,C,6,5,C
203143,Pablo Prigioni,G,9,1,PG
2037,Jamal Crawford,G,11,1,SG
201601,Luc Mbah a Moute,F,12,3,PF
1626183,Branden Dawson,F,22,3,PF
203085,Austin Rivers,G,25,1,SG
202325,Wesley Johnson,F-G,33,2,SF
1718,Paul Pierce,F,34,3,SF
202332,Cole Aldrich,C,45,5,C
1626161,Willie Cauley-Stein,C,0,5,C
201158,Marco Belinelli,G-F,3,2,SG
202341,James Anderson,G-F,5,2,SG
201954,Darren Collison,G,7,1,PG
200752,Rudy Gay,F,8,3,SF
200765,Rajon Rondo,G,9,1,PG
203112,Quincy Acy,F,13,3,PF
202326,DeMarcus Cousins,F-C,15,4,C
201956,Omri Casspi,F,18,3,SF
203463,Ben McLemore,G,23,1,SG
203552,Seth Curry,G,30,1,SG
2406,Caron Butler,F,31,3,SF
201585,Kosta Koufos,C,41,5,C
1626164,Devin Booker,G,1,1,SG
202688,Brandon Knight,G,3,1,PG
2199,Tyson Chandler,C,4,5,C
203955,Bryce Cotton,G,8,1,PG
201603,Sonny Weems,G-F,10,2,SG
202693,Markieff Morris,F,11,3,PF
203933,T.J. Warren,F,12,3,SF
101179,Ronnie Price,G,14,1,PG
200782,P.J. Tucker,F,17,3,PF
203462,Archie Goodwin,G,20,1,SG
203458,Alex Len,C,21,5,C
202720,Jon Leuer,F,30,3,PF
203141,Mirza Teletovic,F,35,3,PF
2594,Kyle Korver,G,26,1,SG
200757,Thabo Sefolosha,F,25,3,SG
200794,Paul Millsap,F,4,3,PF
201143,Al Horford,C-F,15,4,C
201952,Jeff Teague,G,0,1,PG
202714,Shelvin Mack,G,8,1,PG
203118,Mike Scott,F,32,3,PF
203145,Kent Bazemore,F-G,24,2,SG
203200,Justin Holiday,G,7,1,SG
203471,Dennis Schroder,G,17,1,PG
203488,Mike Muscala,F-C,31,4,C
203934,Lamar Patterson,G-F,13,2,SG
204002,Walter Tavares,C,22,5,C
1626181,Norman Powell,G,24,1,SG
1626196,Josh Richardson,G,0,1,SG
204028,Tarik Black,C-F,28,4,C
1626154,RJ Hunter,G,28,1,SG
203950,Jarnell Stokes,F-C,12,4,C
203081,Damian Lillard,G,0,1,PG
203468,CJ McCollum,G,3,1,SG
203090,Maurice Harkless,F,4,3,SF
1626192,Pat Connaughton,G,5,1,SG
202329,Al-Farouq Aminu,F,8,3,PF
201945,Gerald Henderson,G,9,1,SG
204025,Tim Frazier,G,10,1,PG
203086,Meyers Leonard,F-C,11,4,C
202334,Ed Davis,F-C,17,4,PF
203943,Noah Vonleh,F,21,3,PF
203459,Allen Crabbe,F,23,3,SG
203486,Mason Plumlee,C-F,24,4,C
2549,Chris Kaman,C,35,5,C
200779,Steve Novak,F,6,3,PF
203492,Ray McCallum,G,3,1,PG
203996,Damien Inglis,F,17,3,SF
203501,Tim Hardaway Jr.,G,10,1,SG
200811,Lou Amundson,F,17,3,PF
2403,Nene,F-C,42,4,C
1626257,Salah Mejri,C,50,5,C
201593,Nikola Pekovic,C,14,5,C
1626242,Luis Montero,G,44,1,SG
2446,Rasual Butler,F,18,3,SF
201168,Tiago Splitter,C-F,11,4,C
977,Kobe Bryant,F-G,24,2,SG
203497,Rudy Gobert,C,27,5,C
203516,James Ennis III,F,8,3,SF
202343,Elliot Williams,G,25,1,SG
1626144,Emmanuel Mudiay,G,0,1,PG
203485,Lorenzo Brown,G,41,1,PG
203912,C.J. Wilcox,G,30,1,SG
2571,Leandro Barbosa,G,19,1,SG
201619,Sasha Kaun,C,14,5,C
204014,Damjan Rudez,F,10,3,SF
203078,Bradley Beal,G,3,1,SG
1626245,Cristiano Felicio,F-C,6,4,C
1626185,Jarell Martin,F,10,3,PF
201148,Brandan Wright,F,34,3,PF
203906,Devyn Marble,F,11,3,SG
203951,Keith Appling,G,15,1,PG
1626266,JJ O'Brien,F,22,3,SF
203930,Sean Kilpatrick,G,6,1,SG
203461,Anthony Bennett,F,15,3,PF
1626214,Bryce Dejean-Jones,G,31,1,SG
203928,Cory Jefferson,F,55,3,PF
203925,Joe Harris,G,12,1,SG
201975,Jodie Meeks,G,20,1,SG
203915,Spencer Dinwiddie,G,8,1,PG
101126,Nate Robinson,G,2,1,PG
203893,Russ Smith,G,2,1,PG
203475,Erick Green,G,11,1,PG
203963,Shayne Whittington,F-C,42,4,PF
201933,Blake Griffin,F,32,3,PF
202349,Greivis Vasquez,G,21,1,PG
203921,Cleanthony Early,F,11,3,SF
1626179,Terry Rozier,G,12,1,PG
1626175,Jordan Mickey,F,55,3,PF
1626174,Christian Wood,F,35,3,PF
202692,Alec Burks,G,10,1,SG
201228,C.J. Watson,G,32,1,PG
1626178,Rondae Hollis-Jefferson,F,24,3,SF
2744,Al Jefferson,C,25,5,C
203961,Eric Moreland,F-C,25,4,PF
201177,Josh McRoberts,F,4,3,PF
202339,Eric Bledsoe,G,2,1,PG
101236,Chuck Hayes,F-C,44,4,C
203515,Phil Pressey,G,26,1,PG
1626251,Duje Dukan,F,26,3,SF
1626146,Cliff Alexander,F,34,3,PF
202690,Jimmer Fredette,G,32,1,SG
203962,Josh Huestis,F,34,3,PF
203100,Tony Wroten,G,1,1,PG
1626176,Rakeem Christmas,F,25,3,PF
